Line Num	Original ID	File	ARO	ARO:number	Synonim	Drug class	Note
2046	argannot~~~(Tet)tetR(G)~~~S52438:113-745	abricate_argannot_both_ARO_mapping.tsv	nan	ARO:3004653	tetR(G)	tetracycline	private model
							
2169	argannot~~~(Bla)PBP1b~~~AF101781:1-2466	abricate_argannot_both_ARO_mapping.tsv	nan	ARO:3003938 	ARG gene family	cephalosporin, cephamycin, penam	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics (AMR gene family) https://card.mcmaster.ca/ontology/40661
							
11	MEG_4109|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|NALC|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000818	nalC	multi-drug	https://card.mcmaster.ca/ontology/37198
							
16	MEG_5362|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000619	parC	fluoroquinolone	fluoroquinolone resistant parC
							
48	MEG_5368|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003313	parE	fluoroquinolone	fluoroquinolone resistant parE
							
68	MEG_3196|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003292	gyrA	fluoroquinolone	fluoroquinolone resistant gyrA
							
165	MEG_7196|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_regulator|TETRM|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003479	tetR	tetracycline	https://card.mcmaster.ca/ontology/40072
							
182	MEG_7850|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ZIPB	abricate_megares_both_ARO_mapping.tsv	nan	ZIPB		metal resistance gene	
							
190	MEG_1175|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSRM	abricate_megares_both_ARO_mapping.tsv	nan	ARSRM		metal resistance gene	
							
192	MEG_2709|Drugs|Mycobacterium_tuberculosis-specific_Drug|Ethambutol_resistant_arabinosyltransferase|EMBA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003452	embA	polyamine	ethambutol resistant embA https://card.mcmaster.ca/ontology/40045
							
221	MEG_7185|Drugs|Tetracyclines|Tetracycline_transcriptional_repressor|TETR|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003479	tetR	tetracycline	https://card.mcmaster.ca/ontology/40072
							
223	MEG_3932|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MEXT|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000814	MexT	diaminopyrimidine antibiotic, phenicol antibiotic, fluoroquinolone antibiotic	https://card.mcmaster.ca/ontology/37194
							
227	MEG_3245|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|GYRBA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000479	gyrB	aminocoumarin	aminocoumarin resistant gyrB
							
239	MEG_2710|Drugs|Mycobacterium_tuberculosis-specific_Drug|Ethambutol_resistant_arabinosyltransferase|EMBB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000235	embB	polyamine	ethambutol resistant embB
							
270	MEG_5387|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003313	parE	fluoroquinolone	fluoroquinolone resistant parE
							
297	MEG_6102|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000210	rpoB	rifamycin	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)
							
305	MEG_5364|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003313	parE	fluoroquinolone	fluoroquinolone resistant parE
							
307	MEG_5343|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000619	parC	fluoroquinolone	fluoroquinolone resistant parC
							
323	MEG_2114|Drugs|Phenicol|Chloramphenicol_phosphotransferase|CPT	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000249	ARG gene family	phenicol	Chloramphenicol_phosphotransferase
							
329	MEG_5417|Metals|Copper_resistance|Copper_resistance_protein|PCOB	abricate_megares_both_ARO_mapping.tsv	nan	PCOB		metal resistance gene	Copper resistance protein B
							
334	MEG_6133|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000210	rpoB	rifamycin	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)
							
338	MEG_5389|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003313	parE	fluoroquinolone	fluoroquinolone resistant parE
							
373	MEG_4002|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODA	abricate_megares_both_ARO_mapping.tsv	nan	MODA		metal resistance gene	
							
381	MEG_5328|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000619	parC	fluoroquinolone	fluoroquinolone resistant parC
							
385	MEG_3232|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003292	gyrA	fluoroquinolone	fluoroquinolone resistant gyrA
							
397	MEG_3050|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|FPVA	abricate_megares_both_ARO_mapping.tsv	nan	FPVA		metal resistance gene	
							
434	MEG_5816|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTS	abricate_megares_both_ARO_mapping.tsv	nan	PSTS		metal resistance gene	
							
450	MEG_4161|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|NFXB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000820 	NfxB	multi-drug	https://card.mcmaster.ca/ontology/37200
							
457	MEG_714|Metals|Arsenic_resistance|Arsenite_oxidase|AIOE	abricate_megares_both_ARO_mapping.tsv	nan	AIOE		metal resistance gene	
							
459	MEG_2899|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_ABC_efflux_pumps|FETB	abricate_megares_both_ARO_mapping.tsv	nan	FETB		metal resistance gene	
							
512	MEG_5385|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003313	parE	fluoroquinolone	fluoroquinolone resistant parE
							
520	MEG_3924|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MEXR	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000506	MexR	multi-drug	
							
528	MEG_6118|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000210	rpoB	rifamycin	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)
							
534	MEG_7318|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3001312	EF-tu	elfamycin	ARG gene family
							
552	MEG_5390|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003313	parE	fluoroquinolone	fluoroquinolone resistant parE
							
568	MEG_2953|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003415	folP	sulfonamide	ARG gene family
							
569	MEG_43|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000322	AAC(3)	aminoglycoside	ARG gene family
							
573	MEG_3206|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003292	gyrA	fluoroquinolone	fluoroquinolone resistant gyrA
							
576	MEG_7308|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3001312	EF-tu	elfamycin	ARG gene family
							
589	MEG_2430|Drugs|betalactams|Class_A_betalactamases|CTX	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000016	CTX-M beta-lactamase	cephalosporin	ARG gene family
							
597	MEG_1148|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM	abricate_megares_both_ARO_mapping.tsv	nan	ARSBM		metal resistance gene	
							
600	MEG_2063|Metals|Copper_resistance|Copper_resistance_protein|COPL	abricate_megares_both_ARO_mapping.tsv	nan	COPL		metal resistance gene	
							
602	MEG_3235|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003292	gyrA	fluoroquinolone	fluoroquinolone resistant gyrA
							
604	MEG_3247|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|GYRBA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000479	aminocoumarin resistant gyrB	aminocoumarin	ARG gene family
							
606	MEG_5360|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000619	parC	fluoroquinolone	fluoroquinolone resistant parC
							
612	MEG_5344|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000619	parC	fluoroquinolone	fluoroquinolone resistant parC
							
659	MEG_2060|Metals|Copper_resistance|Copper_resistance_protein|COPJ	abricate_megares_both_ARO_mapping.tsv	nan	COPJ		metal resistance gene	
							
672	MEG_5383|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003313	parE	fluoroquinolone	fluoroquinolone resistant parE
							
705	MEG_7191|Drugs|Tetracyclines|Tetracycline_transcriptional_repressor|TETR|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003479	tetR	tetracycline	https://card.mcmaster.ca/ontology/40072
							
754	MEG_6100|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000210	rpoB	rifamycin	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)
							
758	MEG_7302|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3001312	EF-tu	elfamycin	ARG gene family
							
776	MEG_3216|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003292	gyrA	fluoroquinolone	fluoroquinolone resistant gyrA
							
784	MEG_2651|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DMEF	abricate_megares_both_ARO_mapping.tsv	nan	DMEF		metal resistance gene	
							
802	MEG_2865|Drugs|Phenicol|Chloramphenicol_hydrolase|ESTD	abricate_megares_both_ARO_mapping.tsv	nan	ESTD		phenicol	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0210298
							
806	MEG_7809|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|WTPB	abricate_megares_both_ARO_mapping.tsv	nan	WTPB		metal resistance gene	
							
812	MEG_3218|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003292	gyrA	fluoroquinolone	fluoroquinolone resistant gyrA
							
820	MEG_6082|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ROBA	abricate_megares_both_ARO_mapping.tsv	nan	ROBA		metal resistance gene	
							
889	MEG_7315|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3001312	EF-tu	elfamycin	ARG gene family
							
904	MEG_2441|Metals|Copper_resistance|Copper_resistance_protein|CUEP	abricate_megares_both_ARO_mapping.tsv	nan	CUEP		metal resistance gene	
							
923	MEG_2457|Metals|Copper_resistance|Copper_resistance_protein|CUTE	abricate_megares_both_ARO_mapping.tsv	nan	CUTE		metal resistance gene	
							
932	MEG_7197|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_regulator|TETRM|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003479	tetR	tetracycline	https://card.mcmaster.ca/ontology/40072
							
956	MEG_3192|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003292	gyrA	fluoroquinolone	fluoroquinolone resistant gyrA
							
960	MEG_5395|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PAREF|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003313	parE	fluoroquinolone	fluoroquinolone resistant parE
							
965	MEG_3220|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003292	gyrA	fluoroquinolone	fluoroquinolone resistant gyrA
							
1038	MEG_7319|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3001312	EF-tu	elfamycin	ARG gene family
							
1054	MEG_2694|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|EATAV|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003761	eatAv	pleuromutilin	
							
1057	MEG_5330|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000619	parC	fluoroquinolone	fluoroquinolone resistant parC
							
1071	MEG_4088|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|MTRR|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000817	mtrR	multi-drug	
							
1121	MEG_2038|Metals|Copper_resistance|Copper_resistance_protein|COPB	abricate_megares_both_ARO_mapping.tsv	nan	COPB		metal resistance gene	
							
1128	MEG_7865|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ZUPT	abricate_megares_both_ARO_mapping.tsv	nan	ZUPT		metal resistance gene	
							
1138	MEG_6096|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000210	rpoB	rifamycin	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)
							
1156	MEG_6550|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|SOXRB	abricate_megares_both_ARO_mapping.tsv	nan	SOXRB		biocide resistance gene	
							
1158	MEG_1|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003264	Aminoglycosides sensitive Mycobacteroides abscessus 16S rRNA	aminoglycoside	
							
1174	MEG_3202|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003292	gyrA	fluoroquinolone	fluoroquinolone resistant gyrA
							
1239	MEG_1715|Metals|Chromium_resistance|Chromium_resistance_regulator|CHRF	abricate_megares_both_ARO_mapping.tsv	nan	CHRF		metal resistance gene	
							
1260	MEG_3446|Drugs|Mycobacterium_tuberculosis-specific_Drug|Isoniazid-resistant_mutant|KATG|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003392	Mycobacterium tuberculosis katG mutations conferring resistance to isoniazid	isoniazid-like antibiotic	
							
1261	MEG_11|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003264	Aminoglycosides sensitive Mycobacteroides abscessus 16S rRNA	aminoglycoside	
							
1264	MEG_5365|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003313	parE	fluoroquinolone	fluoroquinolone resistant parE
							
1267	MEG_1486|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CADD	abricate_megares_both_ARO_mapping.tsv	nan	CADD		metal resistance gene	
							
1313	MEG_6132|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000210	rpoB	rifamycin	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)
							
1324	MEG_6099|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000210	rpoB	rifamycin	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)
							
1368	MEG_3283|Metals|Nickel_resistance|Nickel_resistance_protein|HUPE	abricate_megares_both_ARO_mapping.tsv	nan	HUPE		metal resistance gene	
							
1370	MEG_6130|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000210	rpoB	rifamycin	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)
							
1408	MEG_5346|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000619	parC	fluoroquinolone	fluoroquinolone resistant parC
							
1421	MEG_6105|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000210	rpoB	rifamycin	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)
							
1429	MEG_4131|Drugs|Mycobacterium_tuberculosis-specific_Drug|Isoniazid-resistant_mutant|NDH|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003460	ndh	isoniazid-like antibiotic	ARG gene family
							
1502	MEG_7310|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3001312	EF-tu	elfamycin	ARG gene family
							
1506	MEG_7303|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3001312	EF-tu	elfamycin	ARG gene family
							
1526	MEG_1141|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARRB	abricate_megares_both_ARO_mapping.tsv	nan	ARRB		metal resistance gene	
							
1551	MEG_2933|Drugs|Mycobacterium_tuberculosis-specific_Drug|Para-aminosalicylic_acid_resistant_mutant|FOLC|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3004157	folC	salicylic acid antibiotic	
							
1637	MEG_5377|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003313	parE	fluoroquinolone	fluoroquinolone resistant parE
							
1644	MEG_3214|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003292	gyrA	fluoroquinolone	fluoroquinolone resistant gyrA
							
1726	MEG_4194|Drugs|Metronidazole|nim_nitroimidazole_reductase|NIMJ	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3007112	nimJ	nitroimidazole	https://card.mcmaster.ca/ontology/45682
							
1738	MEG_3183|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003292	gyrA	fluoroquinolone	fluoroquinolone resistant gyrA
							
1755	MEG_6562|Metals|Chromium_resistance|Chromium_resistance_protein|SRPCC	abricate_megares_both_ARO_mapping.tsv	nan	SRPCC		metal resistance gene	
							
1759	MEG_3926|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MEXR	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000506	MexR	multi-drug	
							
1783	MEG_5345|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000619	parC	fluoroquinolone	fluoroquinolone resistant parC
							
1788	MEG_6959|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERE	abricate_megares_both_ARO_mapping.tsv	nan	TERE		metal resistance gene	
							
1794	MEG_6094|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000210	rpoB	rifamycin	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)
							
1885	MEG_3210|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003292	gyrA	fluoroquinolone	fluoroquinolone resistant gyrA
							
1940	MEG_2456|Metals|Copper_resistance|Copper_resistance_protein|CUTC	abricate_megares_both_ARO_mapping.tsv	nan	CUTC 		metal resistance gene	
							
1973	MEG_5358|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000619	parC	fluoroquinolone	fluoroquinolone resistant parC
							
1978	MEG_3209|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003292	gyrA	fluoroquinolone	fluoroquinolone resistant gyrA
							
2030	MEG_5329|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000619	parC	fluoroquinolone	fluoroquinolone resistant parC
							
2043	MEG_6098|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000210	rpoB	rifamycin	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)
							
2064	MEG_3049|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|FPTA	abricate_megares_both_ARO_mapping.tsv	nan	FPTA		metal resistance gene	
							
2065	MEG_3180|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003292	gyrA	fluoroquinolone	fluoroquinolone resistant gyrA
							
2097	MEG_5817|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTS	abricate_megares_both_ARO_mapping.tsv	nan	PSTS		metal resistance gene	
							
2104	MEG_3207|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003292	gyrA	fluoroquinolone	fluoroquinolone resistant gyrA
							
2164	MEG_2017|Metals|Copper_resistance|Copper_resistance_regulator|COMR	abricate_megares_both_ARO_mapping.tsv	nan	COMPR		metal resistance gene	
							
2178	MEG_4162|Metals|Sodium_resistance|Sodium_resistance_protein|NHAA	abricate_megares_both_ARO_mapping.tsv	nan	NHAA		metal resistance gene	
							
2197	MEG_3240|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000479	gyrB	aminocoumarin	aminocoumarin resistant gyrB
							
